SMILES,Reason
CC(C)C1=CC(=C(C=C1)N2C(=O)C3=C4C5=C(C=C3)C(=O)N(C(=O)C5=C6C7=CC8=C9C(=CC1=C3C9=C7C5=C7C3=C(C=C3C7=C(C=C5C6=C4C2=O)C(=O)N(C3=O)C2=C(C=C(C=C2)C(C)C)C(C)C)C2=C3C4=C(C=CC5=C4C(=C12)C(=O)N(C5=O)C1=C(C=C(C=C1)C(C)C)C(C)C)C(=O)N(C3=O)C1=C(C=C(C=C1)C(C)C)C(C)C)C(=O)N(C8=O)C1=C(C=C(C=C1)C(C)C)C(C)C)C1=C(C=C(C=C1)C(C)C)C(C)C)C(C)C,NDI core not found
CN1C=CC(=[N+]2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)[N+](=C6C=CN(C=C6)C)C5=O)C2=O)C=C1,NDI core not found
CN(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=C(N5)C=C(C=C6)[N+](=O)[O-])CCCN(C)C,NDI core not found
CN(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=CC=CC=C6N5)CCCN(C)C,NDI core not found
CN(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=C(N5)C=C(C=C6)C(=O)O)CCCN(C)C,NDI core not found
CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C,NDI core not found
CN1C=CC(=[N+]2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C)C2=O)C=C1,NDI core not found
CCCCCCC(CCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCC)CCCCCC)SC(=C(C#N)C#N)S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC(=C(C#N)C#N)S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
CCCCCCCCC(CCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCC)CCCCCCCC)SC(=C(C#N)C#N)S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
CCCCCCC(CCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCC)CCCCCC)SC(=C(C#N)C#N)S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
