SMILES,Reason
CN(C)CCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCN(C)C)C1=O,PDI core not found
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)CCCCO)C(=O)N(C2=O)CCCCO,PDI core not found
C1CCC(CC1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6CCCCC6)C2=O,PDI core not found
CCN(CCCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCCCCN(CC)CC5=CC=CC=C5OC)C1=O)CC6=CC=CC=C6OC,PDI core not found
CN(C)CCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCN(C)C)C1=O,PDI core not found
C1=CC(=CC(=C1)O)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC(=CC=C6)O)C2=O,PDI core not found
CC(=O)OCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCOC(=O)C)C1=O,PDI core not found
C1COCCN1CCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCN6CCOCC6)C2=O,PDI core not found
COC1=CC=CC=C1CNCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCNCCCCN)C2=O,PDI core not found
COC1=CC=CC=C1CNCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCNCCCCNCCCN)C2=O,PDI core not found
C1=CC(=CC(=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=CC(=C6)C(=O)O)C2=O)C(=O)O,PDI core not found
C1=CC(=CC=C1N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=C(C=C6)O)C2=O)O,PDI core not found
C1=CC=C(C=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)NC5=O)C2=O,PDI core not found
CCCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCCCC)C1=O,PDI core not found
CCN(CC)CCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCN(CC)CC)C1=O,PDI core not found
CC(=O)NN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)NC(=O)C)C1=O,PDI core not found
C1=CC(=CC=C1N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=C(C=C6)S(=O)(=O)N)C2=O)S(=O)(=O)N,PDI core not found
COC1=CC=CC=C1CNCCCCCCCCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCCCCCCCCNCC6=CC=CC=C6OC)C2=O,PDI core not found
COC1=CC=CC=C1CNCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCNCC6=CC=CC=C6OC)C2=O,PDI core not found
COC1=CC=CC=C1CNCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCNCC6=CC=CC=C6OC)C2=O,PDI core not found
COC1=CC=CC=C1CNCCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCCNCC6=CC=CC=C6OC)C2=O,PDI core not found
COC1=CC=CC=C1CNCCCCCCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCCCCCCNCC6=CC=CC=C6OC)C2=O,PDI core not found
COC1=CC=CC=C1CNCCCCCCCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCCCCCCCNCC6=CC=CC=C6OC)C2=O,PDI core not found
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)CCN=C=S)C(=O)N(C2=O)CCN=C=S,PDI core not found
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)CCCN=C=S)C(=O)N(C2=O)CCCN=C=S,PDI core not found
COC1=C(C(=C(C=C1)CNCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCNCC6=C(C(=C(C=C6)OC)OC)OC)C2=O)OC)OC,PDI core not found
CN(CCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCN(C)CCCN(CC5=CC=CC=N5)CC6=CC=CC=N6)C1=O)CCCN(CC7=CC=CC=N7)CC8=CC=CC=N8,PDI core not found
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CSCCOCCSCC(CN4C(=O)C5=C6C(=CC=C7C6=C(C=C5)C(=O)N(C7=O)CC(CSCCOCCSCC8C(C(C(C(O8)OC9C(CC(C(C9O)OC1C(CC(C(O1)CN)O)N)N)N)O)N)O)O)C4=O)O)OC1C(C(C(C(O1)CN)O)O)N)O)O)N,PDI core not found
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CSCCOCCSCC(CN4C(=O)C5=C6C(=CC=C7C6=C(C=C5)C(=O)N(C7=O)CC(CSCCOCCSCC8C(C(C(O8)OC9C(C(CC(C9OC1C(C(C(C(O1)CN)O)O)N)N)N)O)O)OC1C(C(C(C(O1)CN)O)O)N)O)C4=O)O)OC1C(C(C(C(O1)CN)O)O)N)O)O)N,PDI core not found
C1CNC(=O)C2=CC=C(C=C2)C(=O)NCCCN3CCN(CCCN4C(=O)C5=C6C(=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCN8CCN(C1)CC8)C4=O)CC3,PDI core not found
COC1=CC=CC=C1CNCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCCNCCCN)C2=O,PDI core not found
C1=CC(=CC=C1CCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCS(=O)(=O)N)C2=O)S(=O)(=O)N,PDI core not found
COC1=CC=CC=C1CNCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCNCCCN)C2=O,PDI core not found
COC1=CC=CC=C1CNCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCOCCCCOCCCN)C2=O,PDI core not found
CNCCCNCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCNCC5=CC=CC=C5OC)C1=O,PDI core not found
CNCCCNCCCCNCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCNCC5=CC=CC=C5OC)C1=O,PDI core not found
COC1=CC=CC=C1CNCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCN)C2=O,PDI core not found
CCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCNCC5=CC=CC=C5OC)C1=O,PDI core not found
COC1=CC=CC=C1CNCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCNCCNCCCN)C2=O,PDI core not found
C1=CC(=CC=C1CN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CC6=CC=C(C=C6)S(=O)(=O)N)C2=O)S(=O)(=O)N,PDI core not found
CN1CCN(CC1)CCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCN6CCN(CC6)C)C2=O,PDI core not found
CN1CCN(CC1)CCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCN6CCN(CC6)C)C2=O,PDI core not found
CN1CCN(CC1)C2=CC=CC=C2N3C(=O)C4=C5C(=CC=C6C5=C(C=C4)C(=O)N(C6=O)C7=CC=CC=C7N8CCN(CC8)C)C3=O,PDI core not found
CC(CCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCC(C)N5CCN(CC5)C)C1=O)N6CCN(CC6)C,PDI core not found
CC(C)(CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CC(C)(C)N5CCN(CC5)C)C1=O)N6CCN(CC6)C,PDI core not found
CN1CCN(CC1)C2=CC(=CC=C2)N3C(=O)C4=C5C(=CC=C6C5=C(C=C4)C(=O)N(C6=O)C7=CC=CC(=C7)N8CCN(CC8)C)C3=O,PDI core not found
CN1CCN(CC1)C2=CC=C(C=C2)N3C(=O)C4=C5C(=CC=C6C5=C(C=C4)C(=O)N(C6=O)C7=CC=C(C=C7)N8CCN(CC8)C)C3=O,PDI core not found
CC(CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CC(C)N5CCN(CC5)C)C1=O)N6CCN(CC6)C,PDI core not found
CN1CCN(CC1)CC2(CC2)CN3C(=O)C4=C5C(=CC=C6C5=C(C=C4)C(=O)N(C6=O)CC7(CC7)CN8CCN(CC8)C)C3=O,PDI core not found
C1COCCN1C2=CC=CC=C2N3C(=O)C4=C5C(=CC=C6C5=C(C=C4)C(=O)N(C6=O)C7=CC=CC=C7N8CCOCC8)C3=O,PDI core not found
CCOC(=O)CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CC(=O)OCC)C1=O,PDI core not found
C[N+](C)(C)CCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CC[N+](C)(C)C)C1=O,PDI core not found
C[N+](C)(C)CCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCC[N+](C)(C)C)C1=O,PDI core not found
CN(C)CCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCN=C=S)C1=O,PDI core not found
C1=CC2=C3C(=CC=C4C3=C1C(=O)NC4=O)C(=O)NC2=O,PDI core not found
C1=CC(=CN=C1)CN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CC6=CN=CC=C6)C2=O,PDI core not found
CCCC[N+](C)(CCCC)CCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCC[N+](C)(CCCC)CCCC)C1=O,PDI core not found
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)CCNCCO)C(=O)N(C2=O)CCNCCO,PDI core not found
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)NC(=O)CC(=O)NC5=NC=CS5)C(=O)N(C2=O)NC(=O)CC(=O)NC6=NC=CS6,PDI core not found
COC1=CC=CC=C1CNCCCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCCCNCC6=CC=CC=C6OC)C2=O,PDI core not found
COC1=CC=CC=C1CNCCCCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCCCCNCC6=CC=CC=C6OC)C2=O,PDI core not found
COC1=CC=CC=C1CNCCCCCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCCCCCNCC6=CC=CC=C6OC)C2=O,PDI core not found
CCC[N+](C)(CCC)CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)C[N+](C)(CCC)CCC)C1=O,PDI core not found
C[N+](C)(C)CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)C[N+](C)(C)C)C1=O,PDI core not found
CC[N+](C)(CC)CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)C[N+](C)(CC)CC)C1=O,PDI core not found
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CSCCOCCSCC(CN3C(=O)C4=C5C(=CC=C6C5=C(C=C4)C(=O)N(C6=O)CC(CSCCOCCSCC7C(C(C(C(O7)OC8C(CC(C(C8O)OC9C(CC(C(O9)CN)O)N)N)N)O)N)O)O)C3=O)O)O)N)O)O)OC1C(CC(C(O1)CN)O)N)N,PDI core not found
CN1CCCNC(=O)CC2(CCCCC2)CC(=O)NCCCN(CCCN3C(=O)C4=C5C(=CC=C6C5=C(C=C4)C(=O)N(C6=O)CCC1)C3=O)C,PDI core not found
COC1=C(C(=C(C=C1)CNCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCNCCCCNCCCN)C2=O)OC)OC,PDI core not found
CN(C)CCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCO)C1=O,PDI core not found
CCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)C5=NC=CC=N5)C1=O,PDI core not found
C1COCCN1CCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCO)C2=O,PDI core not found
CC(C)CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCO)C1=O,PDI core not found
CCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCN(C)C)C1=O,PDI core not found
CC1(CC(=O)NCCCN(CCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCN(CCCNC(=O)C1)C)C2=O)C)C,PDI core not found
CN1CCCNC(=O)CCCC(=O)NCCCN(CCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCC1)C2=O)C,PDI core not found
CC1=CC(N=C(N1)NN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)NC6=NC(C=C(N6)C)C7=CC=CC=C7)C2=O)C8=CC=CC=C8,PDI core not found
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)CCO)C(=O)N(C2=O)CCO,PDI core not found
CCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCC)C1=O,PDI core not found
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)CCCO)C(=O)N(C2=O)CCCO,PDI core not found
CN(CCCN)CCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCN(C)CCCNC(=O)C(CC5=CN=CN5)NC(=O)CNC(=O)CN)C1=O,PDI core not found
CN(CCCNC(=O)C(CC1=CN=CN1)NC(=O)CNC(=O)CN)CCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCN(C)CCCNC(=O)C(CC6=CN=CN6)NC(=O)CNC(=O)CN)C2=O,PDI core not found
CCCC[N+](C)(CCCC)CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)C[N+](C)(CCCC)CCCC)C1=O,PDI core not found
COC1=CC=CC=C1CNCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCNCCCNCCCN)C2=O,PDI core not found
CCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCN5CCOCC5)C1=O,PDI core not found
CCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)C5CCCCC5)C1=O,PDI core not found
CCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CC(C)C)C1=O,PDI core not found
CCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CC5CC5)C1=O,PDI core not found
CCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)C5=CN=CC=C5)C1=O,PDI core not found
CCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)C5CC5)C1=O,PDI core not found
C1COCCN1C(CN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CC(C6=CC=CC=N6)N7CCOCC7)C2=O)C8=CC=CC=N8,PDI core not found
C1COCCN1C2=CC=C(C=C2)N3C(=O)C4=C5C(=CC=C6C5=C(C=C4)C(=O)N(C6=O)C7=CC=C(C=C7)N8CCOCC8)C3=O,PDI core not found
COC1=CC=CC2=C1OC(=O)C(=C2)C3=CSC(=N3)N4C(=O)C5=C6C(=CC=C7C6=C(C=C5)C(=O)N(C7=O)C8=NC(=CS8)C9=CC1=C(C(=CC=C1)OC)OC9=O)C4=O,PDI core not found
