SMILES,Sidechain,Source,MW,Sidechain_RB,Sidechain_HA,Sidechain_Bonds,SidechainComplexity,MolFormula
COCCOCCOCC(COCCOCCOC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(COCCOCCOC)COCCOCCOC)C5=O,COCCOCCOCCCOCCOCCOC,Pubchem,947.0439999999995,16,19,18,0.0,C50H62N2O16
O=C1CCCCCC(=O)NCCCN2CCN(CCCN3C(=O)c4ccc5c6ccc7c8c(ccc(c9ccc(c4c59)C3=O)c86)C(=O)N(CCCN3CCN(CCCN1)CC3)C7=O)CC2,CCCN1CCN(CCCNC(=O)CCCCCC(=O)NCCCN2CCN(CCC)CC2)CC1,Pubchem,881.0909999999991,18,35,36,2.0,C51H60N8O6
CCCCCCCCCCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCCCCCCCCCC)C5=O,CCCCCCCCCCCCCCCCCC,Pubchem,895.3259999999989,15,18,17,0.0,C60H82N2O4
CCCCCCCCCC(CCCCCCCCC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCCCCC)CCCCCCCCC)C5=O,CCCCCCCCCCCCCCCCCCC,Pubchem,923.379999999999,16,19,18,0.0,C62H86N2O4
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C5=O,CCCCCCCCCCC(C)CCCCCCCC,Pubchem,951.4339999999988,16,20,19,0.0,C64H90N2O4
O=C(O)CCC(CCC(=O)O)(CCC(=O)O)NC(=O)CCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCC(=O)NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O)C5=O,CCCCCC(=O)NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,Pubchem,1077.1059999999998,14,24,23,0.0,C56H60N4O18
COCCOCCC(CO)(CCOCCOC)CN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(CO)(CCOCCOC)CCOCCOC)C5=O,COCCOCCC(C)(CO)CCOCCOC,Pubchem,915.0459999999996,13,18,17,0.0,C50H62N2O14
CCCCC(CCCC)C(CN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(C(CCCC)CCCC)C(CCCC)CCCC)C5=O)C(CCCC)CCCC,CCCCC(CCCC)C(C)C(CCCC)CCCC,Pubchem,951.4339999999988,14,20,19,0.0,C64H90N2O4
CCCCCC(CCCCC)C(CN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(C(CCCCC)CCCCC)C(CCCCC)CCCCC)C5=O)C(CCCCC)CCCCC,CCCCCC(CCCCC)C(C)C(CCCCC)CCCCC,Pubchem,1063.6499999999985,18,24,23,0.0,C72H106N2O4
CCCCCCCC(C(CCCCCC)n1ccnc1)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCCC)C(CCCCCC)n1ccnc1)C5=O,CCCCCCCCC(CCCCCC)n1ccnc1,Pubchem,943.2899999999992,13,20,20,1.5,C60H74N6O4
CCCCCCCCC(CCCCCCCC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCCCC)CCCCCCCC)C5=O,CCCCCCCCCCCCCCCCC,Pubchem,867.2719999999991,14,17,16,0.0,C58H78N2O4
CCCCCCCC(CCCCCCC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCCC)CCCCCCC)C5=O,CCCCCCCCCCCCCCC,Pubchem,811.1639999999993,12,15,14,0.0,C54H70N2O4
CCCCCCCCCCC(CCCCCCCCCC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCCCCCC)CCCCCCCCCC)C5=O,CCCCCCCCCCCCCCCCCCCCC,Pubchem,979.4879999999988,18,21,20,0.0,C66H94N2O4
CCCCCCCCCCCCC(CCCCCCCCCCCC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCCCCCCCC)CCCCCCCCCCCC)C5=O,CCCCCCCCCCCCCCCCCCCCCCCCC,Pubchem,1091.7039999999988,22,25,24,0.0,C74H110N2O4
O=C(O)CNc1nc(NCC(=O)O)nc(Nc2ccc(N3C(=O)c4ccc5c6ccc7c8c(ccc(c9ccc(c4c59)C3=O)c86)C(=O)N(c3ccc(Nc4nc(NCC(=O)O)nc(NCC(=O)O)n4)c(S(=O)(=O)O)c3)C7=O)cc2S(=O)(=O)O)n1,O=C(O)CNc1nc(NCC(=O)O)nc(Nc2ccccc2S(=O)(=O)O)n1,Pubchem,1183.0360000000005,9,27,28,3.0,C50H34N14O18S2
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1Cc1cccc2ccccc12)c64)C(=O)N(Cc1cccc2ccccc12)C5=O,Cc1cccc2ccccc12,Pubchem,670.7240000000002,0,11,12,5.0,C46H26N2O4
CC1(C)C2CCC1(CS(=O)(=O)ON1C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C1=O)c75)C(=O)N(OS(=O)(=O)CC13CCC(CC1=O)C3(C)C)C6=O)C(=O)C2,CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2,Pubchem,850.9239999999999,2,15,16,4.0,C44H38N2O12S2
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4cc(-c5ccc(-c6ccc(C)s6)s5)c5c6c(ccc(c7cc(C)c(c2c73)C1=O)c64)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C5=O,CCCCCCCCCCC(C)CCCCCCCC,Pubchem,1143.7419999999986,16,20,19,0.0,C74H98N2O4S2
C=CCCCCCCCCC(CCCCCCCCC=C)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCCCCC=C)CCCCCCCCC=C)C5=O,C=CCCCCCCCCCCCCCCCCCC=C,Pubchem,971.423999999999,18,21,20,0.0,C66H86N2O4
[C-]#[N+]c1cc2c3c(cc([N+]#[C-])c4c5ccc6c7c(ccc(c1c34)c75)C(=O)N(C(CCCCCCC)CCCCCCC)C6=O)C(=O)N(C(CCCCCCC)CCCCCCC)C2=O,CCCCCCCCCCCCCCC,Pubchem,861.1839999999992,12,15,14,0.0,C56H68N4O4
[C-]#[N+]c1cc2c3c(ccc4c5c(C#N)cc6c7c(ccc(c1c34)c75)C(=O)N(C(CCCCCCC)CCCCCCC)C6=O)C(=O)N(C(CCCCCCC)CCCCCCC)C2=O,CCCCCCCCCCCCCCC,Pubchem,861.1839999999992,12,15,14,0.0,C56H68N4O4
CCC#Cc1cc2c3c(ccc4c5c(C#CC(=O)OCC)cc6c7c(ccc(c1c34)c75)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C6=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C2=O,CCCCCCCCCCC(C)CCCCCCCC,Pubchem,1099.5949999999987,16,20,19,0.0,C73H98N2O6
CCCCCCC#Cc1cc2c3c(ccc4c5c(C#CCCCCCC)cc6c7c(ccc(c1c34)c75)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C6=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C2=O,CCCCCCCCCCC(C)CCCCCCCC,Pubchem,1167.8019999999983,16,20,19,0.0,C80H114N2O4
COCCOCCOCCOCCOCCOCCOCCOCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCOCCOCCOCCOCCOCCOCCOCCOC)C5=O,CCOCCOCCOCCOCCOCCOCCOCCOC,Pubchem,1123.2559999999994,22,25,24,0.0,C58H78N2O20
