SMILES,Sidechain,Source,MW,Sidechain_RB,Sidechain_HA,Sidechain_Bonds,SidechainComplexity,MolFormula
Cc1cc(C)cc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2cc(C)cc(C)c2)C6=O)c1,Cc1cccc(C)c1,Pubchem,598.6580000000002,0,8,8,1.5,C40H26N2O4
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccc(N=Nc2ccccc2)cc1)c64)C(=O)N(c1ccc(N=Nc2ccccc2)cc1)C5=O,c1ccc(N=Nc2ccccc2)cc1,Pubchem,750.7740000000001,2,14,15,3.0,C48H26N6O4
O=C1NC(=O)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)NC5=O,H,Pubchem,390.3540000000001,0,0,0,0.0,C24H10N2O4
CN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C)C5=O,C,Pubchem,418.4080000000002,0,1,0,0.0,C26H14N2O4
COc1ccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2ccc(OC)cc2)C6=O)cc1,COc1ccccc1,Pubchem,602.6020000000002,1,8,8,1.5,C38H22N2O6
CCOc1ccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2ccc(OCC)cc2)C6=O)cc1,CCOc1ccccc1,Pubchem,630.6560000000002,2,9,9,1.5,C40H26N2O6
Nc1ccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2ccc(N)cc2)C6=O)cc1,Nc1ccccc1,Pubchem,572.5800000000003,0,7,7,1.5,C36H20N4O4
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1CCN1CCCCC1)c64)C(=O)N(CCN1CCCCC1)C5=O,CCN1CCCCC1,Pubchem,612.7299999999999,1,8,8,1.0,C38H36N4O4
CN(C)CCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCN(C)C)C5=O,CCN(C)C,Pubchem,532.6000000000004,1,5,4,0.0,C32H28N4O4
C[N+](C)(C)CCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CC[N+](C)(C)C)C5=O,CC[N+](C)(C)C,Pubchem,562.6700000000003,1,6,5,0.0,C34H34N4O4+2
