SMILES,HeavyAtoms,NumBonds,NumRings,MW
Cc1cc(C)cc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2cc(C)cc(C)c2)C6=O)c1,46,54,9,598.6580000000002
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccc(N=Nc2ccccc2)cc1)c64)C(=O)N(c1ccc(N=Nc2ccccc2)cc1)C5=O,58,68,11,750.7740000000001
O=C1NC(=O)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)NC5=O,30,36,7,390.3540000000001
CN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C)C5=O,32,38,7,418.4080000000002
COc1ccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2ccc(OC)cc2)C6=O)cc1,46,54,9,602.6020000000002
CCOc1ccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2ccc(OCC)cc2)C6=O)cc1,48,56,9,630.6560000000002
Nc1ccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2ccc(N)cc2)C6=O)cc1,44,52,9,572.5800000000003
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1CCN1CCCCC1)c64)C(=O)N(CCN1CCCCC1)C5=O,46,54,9,612.7299999999999
CN(C)CCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCN(C)C)C5=O,40,46,7,532.6000000000004
C[N+](C)(C)CCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CC[N+](C)(C)C)C5=O,42,48,7,562.6700000000003
COCCOCCOCC(COCCOCCOC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(COCCOCCOC)COCCOCCOC)C5=O,68,74,7,947.0439999999995
O=C1c2ccc3c4ccc5c6c(cc(N7CCCCC7)c(c7ccc(c2c37)C(=O)N1CCOCCN1CCCCC1)c64)C(=O)N(CCOCCN1CCCCC1)C5=O,58,67,10,783.9699999999992
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccccc1)c64)C(=O)N(c1ccccc1)C5=O,42,50,9,542.5500000000003
CCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCC)C5=O,46,52,7,614.786
CCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCC)C5=O,42,48,7,558.6780000000003
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(c1c(C(C)C)cccc1C(C)C)C5=O,54,62,9,710.874
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1CCc1ccccc1)c64)C(=O)N(CCc1ccccc1)C5=O,46,54,9,598.6580000000004
CC(C)(C)c1ccc(C(C)(C)C)c(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2cc(C(C)(C)C)ccc2C(C)(C)C)C6=O)c1,58,66,9,766.9819999999999
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1CCNCCO)c64)C(=O)N(CCNCCO)C5=O,42,48,7,564.5980000000003
O=C1CCCCCC(=O)NCCCN2CCN(CCCN3C(=O)c4ccc5c6ccc7c8c(ccc(c9ccc(c4c59)C3=O)c86)C(=O)N(CCCN3CCN(CCCN1)CC3)C7=O)CC2,65,74,20,881.0909999999991
CN(C)CCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCN(C)C)C5=O,42,48,7,560.6540000000003
NCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCN)C5=O,36,42,7,476.49200000000036
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1Cc1ccccc1)c64)C(=O)N(Cc1ccccc1)C5=O,44,52,9,570.6040000000004
CCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCC)C5=O,40,46,7,530.6240000000005
CCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCC)C5=O,44,50,7,586.7320000000002
N#CSc1cccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2cccc(SC#N)c2)C6=O)c1,48,56,9,656.7040000000003
O=C1c2ccc3c4c(N5CCCCC5)cc5c6c(ccc(c7c(N8CCCCC8)cc(c2c37)C(=O)N1CCN1CCCCC1)c64)C(=O)N(CCN1CCCCC1)C5=O,58,68,11,778.9979999999991
