dataset,Cx,Cy,MolFormula,Molecule_ID,SMILES,Sidechain,Source,Tx,Ty,Tz,Theta,best_objective,interaction_energy,Full_torsion_angles,optimization_success,xyz_file_path,xyz_generated,Original_MolFormula,hash,smiles_occurrence_count
PDI,-1.2511,-8.7746,C40H26N2O4_1,C40H26N2O4_1,O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1CCc1ccccc1)c64)C(=O)N(CCc1ccccc1)C5=O,CCc1ccccc1,Pubchem,-2.4249,1.3582,3.133,-26.89,-158.730713,-158.730703,"[-67.137, 83.297, 46.462, 26.101]",True,/home/arunima/PDI_1/data/processed/pdi_database_results_duplicates_1_xyz_files/C40H26N2O4_1/C40H26N2O4_1.xyz,True,C40H26N2O4,64e9e411ac8d821b,1
PDI,2.3448,-0.8583,C48H26N6O4_1,C48H26N6O4_1,O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccc(N=Nc2ccccc2)cc1)c64)C(=O)N(c1ccc(N=Nc2ccccc2)cc1)C5=O,c1ccc(N=Nc2ccccc2)cc1,Pubchem,-1.6553,3.2133,3.102,-176.107,-234.531354,-234.531394,"[93.905, 13.24, -3.078, 60.198, -39.465, 0.186]",True,/home/arunima/web_app_pdi/data/processed/pdi_xyz_files/C48H26N6O4/C48H26N6O4.xyz,True,C48H26N6O4,c0270e99af9e9d2b,1
PDI,0.977,-2.5029,C24H10N2O4_1,C24H10N2O4_1,O=C1NC(=O)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)NC5=O,H,Pubchem,-1.4185,-0.1492,3.1187,-29.336,-120.514719,-120.514722,,True,/home/arunima/web_app_pdi/data/processed/pdi_xyz_files/C24H10N2O4/C24H10N2O4.xyz,True,C24H10N2O4,9c8e5fe2663dde77,1
PDI,0.7201,-4.1471,C26H14N2O4_1,C26H14N2O4_1,CN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C)C5=O,C,Pubchem,-2.0789,0.1748,3.1088,-28.999,-135.584045,-135.584067,,True,/home/arunima/web_app_pdi/data/processed/pdi_xyz_files/C26H14N2O4/C26H14N2O4.xyz,True,C26H14N2O4,0e60f44d79813e3e,1
PDI,-0.276,-4.4295,C38H22N2O6_1,C38H22N2O6_1,COc1ccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2ccc(OC)cc2)C6=O)cc1,COc1ccccc1,Pubchem,-0.9877,0.346,3.2259,-13.348,-170.572437,-170.572417,"[-54.742, -73.496, -23.664, -125.177]",True,/home/arunima/web_app_pdi/data/processed/pdi_xyz_files/C38H22N2O6/C38H22N2O6.xyz,True,C38H22N2O6,684e62317b18fe8b,1
PDI,-2.3148,-0.9219,C40H26N2O6_1,C40H26N2O6_1,COc1ccc(CN2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(Cc2ccc(OC)cc2)C6=O)cc1,COc1ccc(C)cc1,Pubchem,-1.463,1.4221,3.1454,20.514,-184.083745,-184.083732,"[-19.336, 80.634, -51.202, 72.316, -9.789, -114.391]",True,/home/arunima/PDI_1/data/processed/pdi_database_results_duplicates_1_xyz_files/C40H26N2O6_1/C40H26N2O6_1.xyz,True,C40H26N2O6,98d0772f8c63a0cc,1
PDI,0.6647,-1.5066,C36H20N4O4_1,C36H20N4O4_1,Nc1cccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2cccc(N)c2)C6=O)c1,Nc1ccccc1,Pubchem,-3.1571,-0.1586,3.0548,1.766,-197.994394,-197.647823,"[75.806, 124.386]",True,/home/arunima/PDI_1/data/processed/pdi_database_results_duplicates_1_xyz_files/C36H20N4O4_1/C36H20N4O4_1.xyz,True,C36H20N4O4,ed2960a4acf05d8f,1
PDI,-0.8672,-3.103,C38H36N4O4_1,C38H36N4O4_1,CN1CCCC1CCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCC1CCCN1C)C5=O,CCC1CCCN1C,Pubchem,-0.5654,0.7585,3.1248,-28.142,-168.884278,-168.83101,"[-34.344, -71.421]",True,/home/arunima/PDI_1/data/processed/pdi_database_results_duplicates_1_xyz_files/C38H36N4O4_1/C38H36N4O4_1.xyz,True,C38H36N4O4,123323b103b4bdcd,2
PDI,2.4182,2.7385,C32H28N4O4_1,C32H28N4O4_1,NCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCN)C5=O,CCCCN,Pubchem,0.2463,-0.9703,3.1408,-22.325,-151.890235,-151.812888,"[-64.011, -69.047]",True,/home/arunima/PDI_1/data/processed/pdi_database_results_duplicates_1_xyz_files/C32H28N4O4_1/C32H28N4O4_1.xyz,True,C32H28N4O4,a5b34b018113c8a9,1
PDI,0.915,0.9123,C34H34N4O4+2_1,C34H34N4O4+2_1,C[N+](C)(C)CCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CC[N+](C)(C)C)C5=O,CC[N+](C)(C)C,Pubchem,9.992,-0.955,4.1803,-177.963,-168.944635,-168.944707,"[-70.474, -25.786]",True,/home/arunima/web_app_pdi/data/processed/pdi_xyz_files/C34H34N4O4+2/C34H34N4O4+2.xyz,True,C34H34N4O4+2,def02e3625959933,1
