CID,MolFormula,MolWeight,SMILES
157464,C22H24N4O4,408.179755248,"CN(C)CCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCN(C)C)C1=O"
3130863,C22H22N2O6,410.14778642399995,"C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)CCCCO)C(=O)N(C2=O)CCCCO"
4210039,C26H26N2O4,430.18925731199994,"C1CCC(CC1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6CCCCC6)C2=O"
25149265,C46H56N4O6,760.419985512,"CCN(CCCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCCCCN(CC)CC5=CC=CC=C5OC)C1=O)CC6=CC=CC=C6OC"
157462,C24H28N4O4,436.211055376,"CN(C)CCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCN(C)C)C1=O"
1102900,C26H14N2O6,450.08518616799995,"C1=CC(=CC(=C1)O)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC(=CC=C6)O)C2=O"
2852748,C22H18N2O8,438.1063155359999,"CC(=O)OCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCOC(=O)C)C1=O"
10186338,C28H32N4O6,520.2321847439999,"C1COCCN1CCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCN6CCOCC6)C2=O"
137653213,C32H37N5O5,571.279469284,"COC1=CC=CC=C1CNCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCNCCCCN)C2=O"
137655794,C35H44N6O5,628.337318508,"COC1=CC=CC=C1CNCCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CCCNCCCCNCCCN)C2=O"
1097040,C28H14N2O8,506.07501540799984,"C1=CC(=CC(=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=CC(=C6)C(=O)O)C2=O)C(=O)O"
1102901,C26H14N2O6,450.0851861679999,"C1=CC(=CC=C1N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=C(C=C6)O)C2=O)O"
1121038,C20H10N2O4,342.06405679999995,"C1=CC=C(C=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)NC5=O)C2=O"
10670478,C26H30N2O4,434.22055743999994,"CCCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCCCC)C1=O"
424523,C26H32N4O4,464.24235550399993,"CCN(CC)CCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCN(CC)CC)C1=O"
3897207,C18H12N4O6,380.07568410399995,"CC(=O)NN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)NC(=O)C)C1=O"
21240387,C26H16N4O8S2,576.040955472,"C1=CC(=CC=C1N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=C(C=C6)S(=O)(=O)N)C2=O)S(=O)(=O)N"
