CID,MolFormula,MolWeight,SMILES
62555,C40H26N2O4,598.189257312,CC1=CC(=CC(=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=CC(=CC(=C9)C)C)C2=O)C
62476,C48H26N6O4,750.201553312,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N3C(=O)C4=C5C(=CC=C6C5=C(C=C4)C7=C8C6=CC=C9C8=C(C=C7)C(=O)N(C9=O)C1=CC=C(C=C1)N=NC1=CC=CC=C1)C3=O
66475,C24H10N2O4,390.0640568,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)NC7=O)C(=O)NC2=O
79657,C26H14N2O4,418.095356928,CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)C)C1=O
80898,C38H22N2O6,602.1477864240002,COC1=CC=C(C=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=CC=C(C=C9)OC)C2=O
90365,C40H26N2O6,630.1790865520002,CCOC1=CC=C(C=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=CC=C(C=C9)OCC)C2=O
564913,C36H20N4O4,572.14845512,C1=CC(=CC=C1N)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=CC=C(C=C9)N)C2=O
399190,C38H36N4O4,612.273655632,C1CCN(CC1)CCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)CCN9CCCCC9)C2=O
3446426,C32H28N4O4,532.211055376,CN(C)CCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCN(C)C)C1=O
14573901,C34H34N4O4+2,562.25690840818,C[N+](C)(C)CCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CC[N+](C)(C)C)C1=O
16066781,C50H62N2O16,946.4099339040004,COCCOCCOCC(COCCOCCOC)N1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)C(COCCOCCOC)COCCOCCOC)C1=O
51349410,C47H53N5O6,783.399584416,C1CCN(CC1)CCOCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=C(C=C8C7=C(C=C6)C(=O)N(C8=O)CCOCCN9CCCCC9)N1CCCCC1)C2=O
16172388,C72H58N2O8,1078.419316816,CC(C)C1=C(C(=CC=C1)C(C)C)N2C(=O)C3=CC(=C4C5=C(C=C6C7=C5C(=C(C=C7C(=O)N(C6=O)C8=C(C=CC=C8C(C)C)C(C)C)OC9=CC=CC=C9)C1=C(C=C(C3=C41)C2=O)OC1=CC=CC=C1)OC1=CC=CC=C1)OC1=CC=CC=C1
67190,C36H18N2O4,542.126657056,C1=CC=C(C=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=CC=CC=C9)C2=O
10722480,C40H42N2O4,614.314457824,CCCCCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCCCCCC)C1=O
12662880,C36H34N2O4,558.251857568,CCCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCCCC)C1=O
